Encoded ID,Address
w+CAIQICIZSG8gQ2hpIE1pbmggQ2l0eSwgVmlldG5hbQ%3D%3D,Ho Chi Minh City
w+CAIQICIQSGEgTm9pLCBWaWV0IE5hbQ%3D%3D,Ha Noi
w+CAIQICIRRGEgTmFuZywgVmlldCBOYW0%3D,Da Nang
w+CAIQICIJSMOgIFTEqW5o,Hà Tĩnh
w+CAIQICIISGFpcGhvbmc%3D,Hai Phong
w+CAIQICIMUXXhuqNuZyBOaW5o,Quảng Ninh
w+CAIQICIRSMOgIMSQw7RuZywgSGFub2k%3D,"Hà Đông, Hanoi"
w+CAIQICIHQ2FuIFRobw==,Cần Thơ
w+CAIQICIHQ8OgIE1hdQ,Cà Mau
w+CAIQICIMUGhhbiBUaGnhur90,Phan Thiết
w+CAIQICIIQ+G6p3UgR2nhuqV5,Cầu Giấy - HN
